호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,4총합,05시-06시 승차인원,05시-06시 하차인원,5총합,06시-07시 승차인원,06시-07시 하차인원,6총합,07시-08시 승차인원,07시-08시 하차인원,7총합,08시-09시 승차인원,08시-09시 하차인원,8총합,09시-10시 승차인원,09시-10시 하차인원,9총합,10시-11시 승차인원,10시-11시 하차인원,10총합,11시-12시 승차인원,11시-12시 하차인원,11총합,12시-13시 승차인원,12시-13시 하차인원,12총합,13시-14시 승차인원,13시-14시 하차인원,13총합,14시-15시 승차인원,14시-15시 하차인원,14총합,15시-16시 승차인원,15시-16시 하차인원,15총합,16시-17시 승차인원,16시-17시 하차인원,16총합,17시-18시 승차인원,17시-18시 하차인원,17총합,18시-19시 승차인원,18시-19시 하차인원,18총합,19시-20시 승차인원,19시-20시 하차인원,19총합,20시-21시 승차인원,20시-21시 하차인원,20총합,21시-22시 승차인원,21시-22시 하차인원,21총합,22시-23시 승차인원,22시-23시 하차인원,22총합,23시-24시 승차인원,23시-24시 하차인원,23총합,00시-01시 승차인원,00시-01시 하차인원,24총합,01시-02시 승차인원,01시-02시 하차인원,1총합,02시-03시 승차인원,02시-03시 하차인원,2총합,03시-04시 승차인원,03시-04시 하차인원,3총합
2호선,동대문역사문화공원(DDP),213,7,220,5622,1315,6937,4291,8951,13242,8030,23355,31385,14003,47036,61039,16172,32574,48746,17993,32967,50960,20940,32052,52992,23518,32826,56344,25227,33191,58418,29309,34214,63523,36995,32482,69477,42747,30911,73658,47498,33052,80550,49157,37260,86417,33950,35067,69017,26292,25860,52152,25682,21630,47312,21709,18490,40199,11313,11576,22889,2343,3405,5748,5,149,154,0,0,0,0,0,0
2호선,뚝섬,21,0,21,3223,2760,5983,8208,17653,25861,18984,40226,59210,26534,140546,167080,18143,95052,113195,15942,46206,62148,18940,40224,59164,24266,40519,64785,28850,43340,72190,33906,40456,74362,44289,40869,85158,57206,40728,97934,86952,44412,131364,139629,52184,191813,75437,29448,104885,52224,16410,68634,46725,13609,60334,29954,12533,42487,11109,8196,19305,1424,2568,3992,0,41,41,0,0,0,0,0,0
2호선,문래,32,0,32,4095,2542,6637,14395,10708,25103,44536,37138,81674,51051,134171,185222,28886,64691,93577,22405,27823,50228,22391,24578,46969,26657,27232,53889,27503,29058,56561,27886,28307,56193,31023,29331,60354,37300,34268,71568,63088,43109,106197,112027,63153,175180,42786,44116,86902,30854,24442,55296,32257,21403,53660,25251,19147,44398,11968,11408,23376,1937,3697,5634,1,74,75,0,0,0,0,0,0
2호선,방배,9,0,9,2382,2916,5298,8840,11565,20405,22799,27694,50493,31331,80003,111334,25437,59134,84571,20611,38046,58657,22240,29495,51735,25849,30502,56351,28673,26010,54683,31956,26637,58593,35805,24470,60275,44977,25777,70754,54642,32401,87043,66291,37303,103594,32003,25958,57961,24867,17595,42462,23307,16357,39664,18678,16709,35387,6961,9152,16113,1502,2731,4233,1,14,15,0,0,0,0,0,0
2호선,봉천,69,1,70,15582,1914,17496,29656,7660,37316,85999,13913,99912,118346,27038,145384,76194,21532,97726,45318,19968,65286,36326,22518,58844,39569,24851,64420,38305,27012,65317,34034,30586,64620,31412,39692,71104,33894,46339,80233,33228,59640,92868,33570,89179,122749,21438,75524,96962,17828,48353,66181,15107,45566,60673,11557,42075,53632,5030,25253,30283,862,8378,9240,1,272,273,0,0,0,0,0,0
2호선,사당,101,8,109,12713,4063,16776,29174,33491,62665,79963,49630,129593,99503,71672,171175,79450,55466,134916,54644,49990,104634,49304,62531,111835,56110,62067,118177,59069,56104,115173,66568,56529,123097,69198,69341,138539,71079,90891,161970,84119,133211,217330,102544,177949,280493,73816,119229,193045,70995,75370,146365,75840,69673,145513,70430,64621,135051,38266,41018,79284,5938,11298,17236,9,674,683,0,0,0,0,0,0
2호선,삼성(무역센터),178,2,180,4559,5617,10176,7646,45474,53120,15428,140031,155459,20779,332356,353135,21791,254430,276221,25682,128820,154502,38689,93846,132535,49972,83449,133421,67232,92413,159645,86031,79139,165170,111197,65069,176266,143576,62279,205855,228428,63371,291799,301547,60244,361791,160051,35508,195559,126089,19861,145950,105377,15851,121228,66773,12507,79280,18658,6989,25647,2543,4600,7143,1,1104,1105,0,1,1,0,0,0
2호선,상왕십리,37,1,38,6029,768,6797,14079,5864,19943,43563,12751,56314,67453,31578,99031,38669,19003,57672,25569,14532,40101,22001,13581,35582,24415,16159,40574,21922,17276,39198,20338,19282,39620,21523,23202,44725,22360,27736,50096,26699,38559,65258,27490,56708,84198,20028,39310,59338,12867,25970,38837,11212,24160,35372,7724,23052,30776,3091,14313,17404,455,4165,4620,1,26,27,0,1,1,0,0,0
2호선,서울대입구(관악구청),4905,27,4932,28036,2418,30454,43377,14234,57611,127122,30065,157187,165787,76489,242276,118980,63977,182957,71815,58495,130310,63483,50895,114378,71229,54288,125517,76723,59029,135752,68470,60520,128990,73645,69089,142734,79931,83122,163053,89919,113244,203163,98056,175579,273635,61680,140531,202211,53215,89250,142465,54497,84882,139379,48888,84909,133797,26734,50111,76845,4366,19434,23800,0,3233,3233,0,0,0,0,0,0
2호선,서초,4,1,5,2040,4988,7028,9424,21657,31081,19747,55235,74982,30182,112284,142466,29273,92909,122182,23279,46505,69784,31154,38446,69600,28623,27419,56042,37936,29223,67159,38683,27030,65713,44903,23060,67963,50752,24965,75717,74075,27547,101622,93622,28270,121892,46846,19993,66839,32839,12829,45668,31275,11594,42869,18542,11818,30360,6257,6540,12797,819,1518,2337,2,8,10,0,1,1,0,0,0
2호선,선릉,165,3,168,4678,6093,10771,11855,42036,53891,22977,116594,139571,36901,272812,309713,35390,212750,248140,38711,105653,144364,48662,67390,116052,58356,63332,121688,68816,73309,142125,79111,60540,139651,100057,53667,153724,127597,53078,180675,197218,60167,257385,285775,62221,347996,150508,40139,190647,96939,25740,122679,92061,22000,114061,76938,20147,97085,27343,12060,39403,4070,5082,9152,4,50,54,0,0,0,0,0,0
